X,Y,Z,Activity
1933,2330,2090,5
1932,2271,2098,5
1931,2272,2098,5
1933,2273,2101,5
1934,2277,2102,5
1932,2279,2101,5
1927,2300,2082,5
1917,2349,2091,5
1896,2386,2091,5
1867,2423,2127,5
1850,2447,2146,5
1848,2467,2142,5
1857,2483,2143,5
1869,2506,2213,5
1899,2538,2253,5
1925,2563,2256,5
1934,2535,2215,5
1956,2466,2219,5
1976,2387,2229,5
2023,2335,2203,5
2060,2295,2165,5
2070,2315,2146,5
2041,2358,2159,5
1964,2380,2124,5
1937,2392,2085,5
1915,2351,2077,5
1905,2318,2083,5
1909,2287,2081,5
1896,2265,2071,5
1911,2275,2063,5
1916,2253,2037,5
1886,2238,2058,5
1874,2228,2087,5
1874,2245,2100,5
1860,2302,2117,5
1900,2349,2122,5
1930,2411,2099,5
1965,2487,2061,5
1972,2485,2044,5
1982,2484,2055,5
1969,2484,2081,5
1958,2507,2141,5
1971,2580,2180,5
1982,2618,2173,5
1943,2562,2145,5
1930,2449,2134,5
1930,2353,2153,5
1922,2275,2181,5
1935,2226,2229,5
1939,2239,2247,5
1931,2276,2204,5
1934,2317,2139,5
1935,2337,2100,5
1915,2361,2075,5
1883,2355,2058,5
1859,2336,2063,5
1870,2342,2092,5
1900,2322,2098,5
1906,2300,2084,5
1928,2288,2074,5
1928,2278,2093,5
1934,2279,2093,5
1930,2301,2117,5
1921,2325,2126,5
1920,2361,2136,5
1915,2402,2141,5
1901,2434,2130,5
1876,2462,2135,5
1848,2488,2130,5
1858,2485,2145,5
1849,2480,2172,5
1860,2509,2249,5
1906,2504,2237,5
1941,2485,2205,5
1966,2407,2152,5
1968,2342,2159,5
1986,2324,2192,5
2025,2299,2182,5
2010,2316,2161,5
1960,2353,2159,5
1938,2380,2135,5
1943,2390,2110,5
1956,2374,2098,5
1967,2362,2097,5
1973,2341,2091,5
1955,2304,2081,5
1937,2276,2077,5
1921,2245,2083,5
1930,2223,2100,5
1934,2217,2105,5
1957,2218,2102,5
1973,2248,2100,5
1947,2287,2096,5
1925,2324,2075,5
1934,2363,2060,5
1925,2398,2051,5
1936,2419,2057,5
1932,2430,2091,5
1925,2466,2127,5
1947,2490,2215,5
2024,2557,2297,5
2064,2549,2345,5
2007,2489,2377,5
1977,2437,2303,5
1963,2357,2263,5
1976,2308,2299,5
1992,2297,2327,5
1993,2296,2311,5
1978,2297,2277,5
1964,2301,2256,5
1964,2308,2243,5
1967,2310,2226,5
1963,2311,2209,5
1966,2314,2193,5
1959,2305,2183,5
1941,2290,2170,5
1935,2278,2171,5
1928,2266,2171,5
1921,2266,2162,5
1913,2269,2146,5
1916,2268,2143,5
1920,2266,2140,5
1916,2272,2139,5
1897,2273,2137,5
1907,2296,2123,5
1908,2307,2126,5
1917,2304,2142,5
1914,2318,2140,5
1910,2339,2134,5
1901,2356,2122,5
1899,2379,2112,5
1882,2412,2118,5
1888,2447,2141,5
1884,2466,2164,5
1868,2480,2145,5
1832,2512,2117,5
1859,2538,2157,5
1873,2514,2141,5
1888,2405,2087,5
1866,2337,2105,5
1936,2295,2183,5
2065,2274,2226,5
2130,2280,2235,5
2026,2348,2189,5
1919,2402,2155,5
1910,2406,2130,5
1979,2371,2159,5
2031,2337,2156,5
2012,2331,2118,5
1948,2323,2113,5
1891,2344,2126,5
1891,2350,2133,5
1910,2346,2109,5
1923,2326,2091,5
1928,2311,2076,5
1920,2319,2078,5
1920,2357,2084,5
1917,2401,2081,5
1917,2445,2113,5
1931,2497,2160,5
1950,2529,2218,5
2016,2567,2281,5
2045,2583,2265,5
1954,2498,2249,5
1912,2400,2289,5
1921,2303,2246,5
1956,2266,2263,5
1987,2259,2266,5
1969,2281,2254,5
1933,2311,2236,5
1901,2324,2200,5
1927,2283,2142,5
1927,2285,2143,5
1924,2280,2149,5
1910,2295,2166,5
1941,2280,2152,5
1943,2290,2129,5
1957,2307,2119,5
1977,2317,2127,5
1958,2323,2144,5
1909,2335,2161,5
1892,2379,2192,5
1890,2421,2208,5
1889,2452,2187,5
1894,2465,2183,5
1872,2481,2216,5
1867,2490,2232,5
1867,2442,2230,5
1903,2376,2239,5
1959,2274,2233,5
2005,2201,2210,5
2057,2195,2186,5
2108,2246,2189,5
2102,2302,2162,5
2012,2335,2126,5
1967,2369,2126,5
1975,2372,2169,5
1983,2395,2171,5
1958,2454,2143,5
1938,2497,2162,5
1951,2508,2199,5
1974,2518,2196,5
1984,2566,2167,5
1975,2543,2111,5
1936,2531,2082,5
1891,2465,2073,5
1881,2403,2074,5
1908,2343,2059,5
1924,2277,2075,5
1939,2229,2077,5
1949,2201,2105,5
1985,2246,2138,5
1994,2300,2136,5
1985,2303,2134,5
1959,2297,2165,5
1968,2307,2170,5
1966,2315,2183,5
1911,2309,2214,5
1855,2326,2224,5
1836,2355,2182,5
1852,2387,2121,5
1860,2402,2076,5
1844,2416,2014,5
1828,2390,2050,5
1831,2381,2067,5
1846,2369,2061,5
1855,2335,2049,5
1874,2295,2050,5
1887,2254,2067,5
1896,2227,2069,5
1926,2222,2087,5
1941,2231,2103,5
1911,2267,2091,5
1907,2311,2119,5
1906,2344,2143,5
1883,2390,2113,5
1874,2407,2119,5
1864,2405,2114,5
1929,2507,2203,5
1906,2427,2116,5
1886,2418,2040,5
1895,2459,2064,5
1903,2440,2099,5
1956,2447,2087,5
1948,2403,2042,5
1858,2419,2024,5
1866,2404,2046,5
1883,2368,2059,5
1897,2343,2023,5
1902,2310,1992,5
1889,2281,1998,5
1890,2257,2005,5
1883,2246,2002,5
1888,2248,2006,5
1892,2262,1990,5
1905,2283,1995,5
1906,2314,2003,5
1895,2363,2049,5
1900,2449,2123,5
1911,2510,2171,5
1892,2561,2153,5
1815,2582,2045,5
1713,2522,2044,5
1656,2423,2070,5
1709,2366,2139,5
1803,2363,2188,5
1835,2363,2207,5
1841,2367,2164,5
1835,2367,2087,5
1839,2340,2091,5
1863,2322,2142,5
1896,2319,2158,5
1906,2323,2103,5
1909,2317,2095,5
1919,2317,2119,5
1907,2325,2106,5
1898,2322,2112,5
1890,2324,2097,5
1886,2325,2087,5
1884,2339,2088,5
1884,2363,2095,5
1866,2426,2099,5
1856,2494,2111,5
1847,2563,2112,5
1790,2622,2115,5
1775,2646,2210,5
1827,2614,2208,5
1870,2536,2173,5
1905,2411,2175,5
1956,2329,2207,5
2006,2270,2203,5
2044,2266,2197,5
2045,2297,2188,5
1987,2334,2163,5
1953,2365,2107,5
1931,2375,2069,5
1906,2365,2061,5
1914,2330,2075,5
1930,2327,2082,5
1932,2304,2074,5
1930,2275,2057,5
1913,2280,2059,5
1902,2280,2087,5
1913,2266,2083,5
1914,2267,2051,5
1924,2282,2056,5
1938,2314,2068,5
1950,2377,2043,5
1946,2437,2034,5
1939,2500,2051,5
1915,2510,2085,5
1928,2513,2163,5
1948,2589,2221,5
1968,2677,2223,5
1925,2600,2180,5
1894,2505,2147,5
1903,2375,2125,5
1898,2287,2116,5
1864,2263,2167,5
1828,2285,2248,5
1844,2286,2269,5
1873,2326,2157,5
1869,2345,2044,5
1875,2303,1977,5
1882,2246,1979,5
1890,2215,2037,5
1900,2178,2091,5
1901,2175,2097,5
1930,2197,2097,5
1929,2231,2092,5
1928,2293,2106,5
1917,2370,2137,5
1893,2432,2164,5
1883,2493,2186,5
1872,2533,2196,5
1869,2539,2163,5
1880,2521,2204,5
1873,2544,2223,5
1885,2559,2250,5
1925,2555,2239,5
1966,2475,2219,5
1919,2541,2061,5
1920,2539,2061,5
1921,2537,2059,5
1922,2538,2060,5
1922,2537,2061,5
1921,2537,2061,5
1919,2538,2063,5
1917,2537,2065,5
1917,2539,2066,5
1919,2538,2067,5
1920,2538,2067,5
1925,2535,2080,5
1929,2544,2130,5
1911,2575,2202,5
1931,2606,2205,5
1927,2539,2154,5
1910,2416,2148,5
1918,2312,2169,5
1939,2249,2194,5
1961,2247,2223,5
1963,2255,2215,5
1962,2292,2170,5
1923,2349,2118,5
1850,2371,2070,5
1790,2345,2015,5
1784,2362,2037,5
1870,2309,2124,5
1902,2291,2095,5
1913,2277,2065,5
1922,2270,2072,5
1936,2256,2065,5
1932,2268,2089,5
1942,2284,2124,5
1920,2321,2134,5
1911,2371,2137,5
1896,2435,2126,5
1865,2478,2137,5
1879,2489,2179,5
1893,2529,2199,5
1905,2548,2244,5
1945,2583,2249,5
1950,2541,2237,5
1967,2471,2223,5
1997,2380,2223,5
2036,2313,2214,5
2061,2296,2175,5
2057,2307,2150,5
2004,2328,2139,5
1970,2340,2111,5
1954,2346,2092,5
1952,2339,2086,5
1956,2337,2071,5
1968,2322,2053,5
1957,2295,2031,5
1939,2278,2060,5
1933,2256,2069,5
1934,2254,2067,5
1927,2252,2072,5
1923,2284,2067,5
1924,2313,2072,5
1922,2353,2073,5
1932,2384,2061,5
1953,2401,2050,5
1968,2441,2038,5
1963,2475,2034,5
1963,2506,2067,5
1957,2545,2107,5
1975,2602,2146,5
1988,2634,2169,5
1960,2591,2151,5
1913,2471,2143,5
1904,2371,2140,5
1921,2300,2155,5
1930,2280,2203,5
1931,2274,2227,5
1925,2290,2173,5
1928,2301,2138,5
1926,2323,2125,5
1921,2322,2125,5
1894,2332,2109,5
1848,2338,2040,5
1880,2326,2058,5
1890,2291,2105,5
1893,2270,2073,5
1911,2254,2107,5
1929,2258,2089,5
1939,2266,2090,5
1943,2280,2111,5
1948,2307,2112,5
1925,2375,2103,5
1874,2425,2110,5
1851,2442,2143,5
1824,2461,2168,5
1816,2484,2204,5
1851,2508,2190,5
1860,2538,2203,5
1873,2547,2264,5
1888,2539,2301,5
1937,2483,2260,5
1951,2388,2222,5
1973,2312,2241,5
2029,2289,2222,5
2040,2290,2175,5
1997,2317,2166,5
1955,2341,2147,5
1946,2340,2116,5
1926,2329,2123,5
1927,2301,2131,5
1977,2297,2103,5
1972,2315,2075,5
1949,2298,2105,5
1947,2274,2096,5
1934,2267,2106,5
1946,2267,2113,5
1938,2299,2103,5
1943,2318,2100,5
1945,2344,2104,5
1957,2375,2095,5
1965,2421,2061,5
1954,2453,2083,5
1936,2479,2110,5
1965,2503,2171,5
1975,2554,2213,5
1982,2574,2206,5
1922,2507,2166,5
1873,2398,2172,5
1854,2315,2200,5
1881,2273,2238,5
1890,2285,2261,5
1903,2310,2222,5
1921,2349,2156,5
1964,2350,2151,5
1980,2327,2172,5
1939,2320,2106,5
1870,2337,2058,5
1856,2324,2087,5
1869,2300,2118,5
1917,2299,2107,5
1935,2292,2082,5
1936,2282,2066,5
1950,2265,2072,5
1947,2263,2092,5
1954,2272,2103,5
1940,2294,2113,5
1923,2332,2122,5
1909,2358,2118,5
1896,2381,2119,5
1866,2395,2123,5
1844,2430,2115,5
1854,2458,2113,5
1882,2459,2119,5
1887,2466,2140,5
1804,2478,2186,5
1783,2579,2215,5
1912,2547,2233,5
2000,2501,2233,5
1931,2442,2152,5
1924,2371,2112,5
1941,2336,2192,5
1967,2315,2254,5
1987,2304,2252,5
1977,2314,2190,5
1928,2329,2130,5
1912,2343,2102,5
1921,2350,2109,5
1933,2350,2134,5
1937,2340,2118,5
1948,2325,2091,5
1964,2337,2081,5
1975,2327,2079,5
1953,2293,2078,5
1952,2292,2080,5
1948,2291,2082,5
1943,2275,2073,5
1945,2271,2061,5
1945,2303,2040,5
1931,2321,2029,5
1917,2343,2027,5
1906,2353,2033,5
1899,2376,2039,5
1898,2375,2063,5
1893,2362,2102,5
1936,2420,2209,5
1988,2532,2304,5
1944,2509,2214,5
1814,2450,2087,5
1743,2421,2098,5
1835,2438,2134,5
1952,2404,2153,5
1954,2346,2168,5
1897,2369,2157,5
1837,2375,2127,5
1840,2346,2082,5
1889,2320,2053,5
1917,2301,2055,5
1916,2279,2050,5
1907,2268,2062,5
1890,2277,2089,5
1905,2311,2117,5
1911,2347,2122,5
1895,2388,2135,5
1863,2444,2131,5
1847,2467,2137,5
1862,2471,2111,5
1858,2550,2110,5
1873,2509,2080,5
1877,2468,2036,5
1865,2463,2119,5
1889,2354,2173,5
1991,2307,2186,5
2084,2302,2178,5
2143,2336,2134,5
2027,2316,2092,5
1908,2383,2077,5
1868,2393,2086,5
1913,2365,2118,5
1958,2326,2144,5
1963,2323,2094,5
1927,2338,2047,5
1918,2341,2047,5
1915,2327,2042,5
1878,2323,2022,5
1878,2310,2015,5
1922,2326,2017,5
1957,2369,2027,5
1954,2399,2025,5
1934,2446,2043,5
1951,2513,2082,5
2028,2610,2128,5
2058,2622,2174,5
1997,2580,2213,5
1911,2554,2213,5
1885,2475,2133,5
1861,2377,2153,5
1853,2312,2193,5
1847,2281,2212,5
1842,2305,2212,5
1877,2367,2213,5
1959,2356,2200,5
1982,2318,2155,5
1964,2325,2150,5
1928,2351,2168,5
1872,2331,2185,5
1850,2338,2171,5
1921,2313,2114,5
1951,2294,2110,5
1958,2312,2143,5
1971,2293,2133,5
1951,2290,2094,5
1926,2301,2088,5
1890,2301,2128,5
1872,2321,2162,5
1875,2360,2175,5
1899,2405,2149,5
1905,2462,2128,5
1888,2474,2138,5
1864,2499,2171,5
1879,2568,2219,5
1895,2546,2240,5
1943,2534,2230,5
1980,2456,2202,5
2005,2337,2198,5
2046,2243,2213,5
2069,2232,2238,5
2026,2291,2262,5
2022,2330,2226,5
2028,2365,2170,5
2025,2379,2151,5
2022,2362,2150,5
2001,2360,2138,5
1987,2352,2119,5
1959,2315,2095,5
1937,2291,2113,5
1932,2274,2146,5
1944,2274,2149,5
1968,2279,2123,5
1967,2309,2084,5
1962,2334,2063,5
1963,2341,2053,5
1963,2327,2039,5
1956,2346,2030,5
1933,2347,2027,5
1929,2371,2050,5
1937,2407,2081,5
1971,2463,2155,5
2039,2536,2256,5
2087,2561,2308,5
2042,2471,2230,5
1940,2419,2160,5
1903,2357,2186,5
1915,2345,2245,5
1936,2338,2261,5
1961,2325,2221,5
1945,2322,2200,5
1947,2351,2182,5
1950,2354,2159,5
1940,2339,2132,5
1915,2328,2133,5
1866,2308,2140,5
1862,2306,2162,5
1907,2295,2123,5
1918,2306,2079,5
1899,2290,2055,5
1890,2265,2056,5
1894,2249,2092,5
1891,2248,2109,5
1898,2259,2112,5
1889,2277,2106,5
1893,2320,2109,5
1897,2332,2115,5
1918,2380,2121,5
1936,2379,2101,5
1916,2400,2106,5
1892,2445,2099,5
1900,2429,2056,5
1900,2398,2006,5
1899,2451,2018,5
1869,2459,2098,5
1822,2473,2124,5
1798,2603,2167,5
1857,2449,2156,5
1887,2397,2173,5
1949,2336,2214,5
2041,2326,2261,5
2105,2371,2279,5
2023,2401,2207,5
1936,2423,2108,5
1879,2444,2058,5
1883,2443,2064,5
1892,2375,2130,5
1915,2337,2184,5
1917,2337,2147,5
1907,2332,2085,5
1882,2337,2050,5
1853,2350,2052,5
1831,2368,2051,5
1859,2361,2036,5
1907,2373,2015,5
1937,2369,2009,5
1942,2361,2007,5
1943,2343,2009,5
1943,2346,2009,5
1947,2349,2000,5
1955,2336,1993,5
1939,2332,2003,5
1921,2322,1997,5
1911,2321,1986,5
1898,2331,1991,5
1900,2344,2003,5
1909,2363,2003,5
1926,2422,2001,5
1943,2485,1993,5
1961,2543,2006,5
1998,2576,2065,5
2023,2609,2133,5
1976,2606,2161,5
1904,2510,2149,5
1867,2443,2167,5
1848,2370,2183,5
1865,2329,2223,5
1872,2317,2234,5
1881,2329,2202,5
1888,2349,2161,5
1919,2355,2137,5
1930,2362,2121,5
1934,2364,2136,5
1890,2359,2133,5
1849,2389,2103,5
1840,2366,2047,5
1846,2341,2029,5
1872,2323,2077,5
1887,2308,2102,5
1891,2293,2093,5
1898,2291,2073,5
1898,2290,2066,5
1902,2289,2076,5
1899,2294,2077,5
1891,2307,2071,5
1879,2316,2077,5
1877,2316,2085,5
1874,2326,2080,5
1877,2346,2079,5
1878,2370,2090,5
1883,2387,2087,5
1884,2422,2089,5
1887,2459,2104,5
1879,2508,2096,5
1846,2563,2085,5
1837,2572,2103,5
1850,2584,2154,5
1878,2575,2190,5
1904,2517,2141,5
1924,2461,2174,5
1958,2387,2227,5
2011,2322,2191,5
2012,2298,2181,5
2007,2296,2176,5
1999,2292,2179,5
1985,2315,2154,5
1965,2336,2126,5
1974,2350,2097,5
1979,2356,2083,5
1966,2335,2079,5
1955,2321,2083,5
1955,2305,2110,5
1965,2283,2123,5
1986,2297,2107,5
1978,2300,2087,5
1970,2322,2079,5
1955,2321,2088,5
1945,2336,2103,5
1952,2345,2101,5
1968,2342,2089,5
1968,2363,2080,5
1969,2370,2079,5
1973,2355,2071,5
1987,2349,2071,5
1984,2356,2076,5
1983,2369,2079,5
1979,2387,2073,5
1967,2421,2076,5
1958,2443,2085,5
1951,2483,2087,5
1943,2520,2126,5
1952,2587,2169,5
1939,2630,2170,5
1872,2580,2108,5
1835,2486,2099,5
1840,2387,2151,5
1872,2311,2182,5
1892,2291,2201,5
1912,2287,2209,5
1922,2297,2210,5
1912,2309,2186,5
1892,2336,2117,5
1846,2349,2031,5
1851,2342,2062,5
1871,2319,2091,5
1879,2301,2076,5
1881,2280,2073,5
1869,2273,2070,5
1885,2268,2089,5
1914,2275,2099,5
1914,2295,2095,5
1910,2301,2109,5
1910,2305,2105,5
1897,2320,2098,5
1910,2347,2107,5
1889,2365,2106,5
1876,2370,2114,5
1885,2377,2139,5
1892,2394,2122,5
1895,2424,2136,5
1889,2459,2107,5
1890,2501,2120,5
1876,2527,2154,5
1850,2562,2207,5
1866,2610,2220,5
1920,2593,2204,5
1939,2493,2202,5
1925,2401,2235,5
1974,2342,2248,5
2029,2304,2241,5
2043,2279,2200,5
2024,2300,2187,5
2012,2315,2181,5
1985,2318,2157,5
1976,2332,2133,5
1974,2327,2113,5
1967,2306,2091,5
1970,2299,2091,5
1968,2297,2095,5
1967,2280,2099,5
1976,2282,2096,5
1969,2297,2078,5
1957,2315,2087,5
1944,2299,2094,5
1940,2310,2090,5
1934,2315,2075,5
1940,2334,2075,5
1955,2351,2063,5
1974,2369,2054,5
1972,2401,2042,5
1975,2427,2064,5
1974,2449,2078,5
1967,2474,2097,5
1967,2503,2143,5
1995,2566,2197,5
2012,2622,2223,5
1987,2559,2185,5
1928,2479,2148,5
1899,2397,2149,5
1923,2339,2179,5
1940,2305,2211,5
1945,2308,2213,5
1925,2315,2186,5
1918,2319,2169,5
1930,2309,2151,5
1933,2316,2136,5
1918,2338,2151,5
1865,2356,2126,5
1832,2361,2059,5
1850,2317,2005,5
1892,2294,2032,5
1890,2275,2076,5
1895,2261,2087,5
1918,2263,2087,5
1927,2262,2086,5
1948,2266,2105,5
1952,2285,2117,5
1959,2318,2234,5
1958,2314,2236,5
1957,2311,2236,5
1959,2309,2237,5
1961,2307,2236,5
1961,2306,2235,5
1960,2307,2234,5
2017,2275,2243,5
2083,2261,2233,5
2071,2278,2179,5
1999,2313,2138,5
1956,2355,2114,5
1951,2376,2104,5
1978,2374,2115,5
1992,2348,2129,5
1999,2328,2127,5
1992,2320,2112,5
1967,2303,2095,5
1930,2301,2086,5
1923,2305,2099,5
1927,2293,2107,5
1934,2301,2087,5
1937,2306,2085,5
1947,2319,2092,5
1962,2342,2079,5
1975,2371,2061,5
1974,2391,2053,5
1963,2408,2062,5
1965,2419,2088,5
1975,2443,2125,5
1993,2507,2168,5
2008,2591,2207,5
1967,2559,2216,5
1918,2510,2160,5
1885,2442,2149,5
1900,2380,2199,5
1905,2338,2220,5
1916,2326,2232,5
1943,2325,2239,5
1950,2329,2197,5
1964,2331,2153,5
1953,2315,2140,5
1917,2321,2157,5
1860,2346,2166,5
1827,2366,2154,5
1862,2350,2083,5
1871,2312,2041,5
1897,2283,2053,5
1934,2265,2102,5
1939,2248,2115,5
1941,2247,2107,5
1936,2242,2100,5
1943,2259,2112,5
1927,2278,2125,5
1913,2327,2141,5
1899,2369,2131,5
1889,2411,2134,5
1874,2445,2135,5
1870,2479,2144,5
1874,2515,2098,5
1883,2537,2118,5
1870,2549,2208,5
1839,2562,2282,5
1866,2593,2271,5
1949,2521,2227,5
1911,2419,2177,5
1907,2344,2203,5
1977,2285,2219,5
2003,2251,2206,5
1972,2291,2180,5
1936,2323,2143,5
1899,2341,2113,5
1905,2353,2117,5
1935,2335,2126,5
1973,2331,2128,5
2014,2333,2101,5
2028,2306,2063,5
1990,2291,2063,5
1945,2295,2106,5
1942,2261,2087,5
1933,2248,2101,5
1930,2258,2087,5
1927,2278,2086,5
1936,2317,2083,5
1950,2338,2077,5
1956,2357,2061,5
1949,2384,2063,5
1939,2403,2065,5
1925,2424,2080,5
1936,2462,2132,5
1949,2503,2163,5
1955,2574,2187,5
1942,2561,2203,5
1914,2506,2231,5
1910,2446,2251,5
1900,2376,2224,5
1909,2314,2211,5
1927,2291,2209,5
1927,2285,2221,5
1926,2289,2211,5
1917,2305,2197,5
1904,2322,2175,5
1900,2346,2155,5
1875,2364,2129,5
1852,2373,2122,5
1813,2395,2114,5
1795,2419,2070,5
1874,2368,2072,5
1869,2341,2099,5
1883,2304,2088,5
1896,2275,2090,5
1915,2246,2090,5
1921,2237,2089,5
1932,2229,2107,5
1935,2245,2102,5
1903,2263,2101,5
1910,2287,2126,5
1885,2330,2137,5
1885,2377,2106,5
1873,2419,2080,5
1873,2467,2155,5
1915,2510,2225,5
1902,2530,2187,5
1926,2513,2143,5
1943,2447,2123,5
1952,2353,2109,5
1987,2303,2135,5
2017,2314,2198,5
1998,2340,2223,5
1941,2380,2171,5
1945,2404,2111,5
1963,2406,2084,5
1966,2387,2074,5
1953,2377,2063,5
1946,2350,2060,5
1940,2318,2072,5
1925,2307,2083,5
1920,2334,2089,5
1918,2342,2077,5
1909,2338,2042,5
1907,2342,2035,5
1932,2321,2043,5
1934,2342,2056,5
1925,2364,2051,5
1924,2398,2042,5
1924,2421,2043,5
1914,2449,2025,5
1896,2467,2032,5
1902,2497,2072,5
1919,2543,2127,5
1951,2623,2190,5
1936,2605,2173,5
1870,2550,2146,5
1851,2473,2160,5
1888,2402,2188,5
1898,2348,2221,5
1907,2318,2226,5
1895,2294,2204,5
1876,2304,2208,5
1871,2307,2183,5
1879,2330,2179,5
1898,2328,2137,5
1888,2314,2123,5
1872,2330,2151,5
1840,2357,2135,5
1823,2358,2074,5
1856,2300,2020,5
1896,2288,2087,5
1917,2255,2122,5
1923,2243,2101,5
1835,2484,2130,5
1834,2485,2130,5
1833,2487,2131,5
1832,2487,2132,5
1829,2487,2131,5
1810,2517,2127,5
1812,2569,2200,5
1848,2566,2217,5
1896,2547,2204,5
1934,2445,2188,5
1936,2383,2216,5
1955,2338,2245,5
1977,2302,2225,5
1995,2282,2199,5
1979,2298,2178,5
1952,2329,2164,5
1941,2354,2120,5
1935,2376,2091,5
