"Index","X","Y","Z","Activity"
182,1892,2387,2032,3
183,1896,2387,2028,3
184,1898,2384,2025,3
185,1895,2390,2031,3
186,1897,2384,2030,3
187,1893,2388,2030,3
188,1893,2383,2036,3
189,1895,2387,2029,3
190,1896,2382,2030,3
191,1900,2383,2026,3
192,1888,2386,2026,3
193,1893,2386,2028,3
194,1898,2382,2027,3
195,1895,2390,2029,3
196,1890,2389,2031,3
197,1901,2387,2027,3
198,1894,2384,2025,3
199,1892,2389,2030,3
200,1894,2388,2027,3
201,1892,2383,2030,3
202,1892,2391,2027,3
203,1896,2382,2027,3
204,1902,2387,2031,3
205,1894,2387,2030,3
206,1899,2385,2029,3
207,1891,2387,2025,3
208,1895,2386,2028,3
209,1895,2384,2030,3
210,1897,2387,2030,3
211,1893,2379,2029,3
212,1895,2381,2028,3
213,1897,2382,2026,3
214,1896,2383,2024,3
215,1898,2385,2026,3
216,1901,2386,2027,3
217,1902,2385,2028,3
218,1897,2385,2026,3
219,1901,2384,2030,3
220,1894,2379,2027,3
221,1901,2385,2031,3
222,1899,2385,2027,3
223,1896,2383,2032,3
224,1893,2387,2030,3
225,1898,2387,2026,3
226,1899,2385,2029,3
227,1898,2391,2031,3
228,1898,2385,2030,3
229,1896,2382,2027,3
230,1894,2381,2025,3
231,1899,2387,2022,3
232,1895,2386,2027,3
233,1899,2386,2030,3
234,1894,2388,2027,3
235,1897,2387,2024,3
236,1897,2385,2026,3
237,1900,2385,2022,3
238,1899,2386,2027,3
239,1893,2385,2024,3
240,1896,2385,2025,3
241,1899,2393,2026,3
242,1897,2391,2031,3
243,1892,2387,2025,3
244,1903,2385,2026,3
245,1897,2381,2033,3
246,1902,2389,2031,3
247,1896,2389,2024,3
248,1897,2384,2023,3
249,1900,2385,2024,3
250,1896,2383,2030,3
251,1897,2387,2032,3
252,1900,2385,2026,3
253,1901,2386,2025,3
254,1900,2390,2031,3
255,1897,2384,2029,3
256,1901,2385,2028,3
257,1901,2389,2029,3
258,1901,2389,2028,3
259,1905,2386,2029,3
260,1903,2388,2031,3
261,1900,2387,2031,3
262,1903,2388,2029,3
263,1906,2388,2029,3
264,1899,2388,2032,3
265,1906,2386,2031,3
266,1904,2383,2030,3
267,1900,2388,2036,3
268,1901,2386,2037,3
269,1896,2386,2028,3
270,1898,2389,2031,3
271,1896,2389,2033,3
272,1901,2387,2031,3
273,1903,2384,2032,3
274,1900,2385,2031,3
275,1905,2392,2031,3
276,1897,2387,2030,3
277,1902,2386,2032,3
278,1903,2386,2030,3
279,1897,2384,2034,3
280,1903,2385,2035,3
281,1900,2387,2033,3
282,1897,2386,2034,3
283,1903,2382,2025,3
284,1904,2388,2030,3
285,1896,2386,2032,3
286,1900,2391,2026,3
287,1908,2388,2035,3
288,1904,2383,2029,3
289,1902,2387,2026,3
290,1898,2381,2030,3
291,1902,2387,2034,3
292,1894,2383,2031,3
293,1900,2387,2028,3
294,1891,2388,2032,3
295,1896,2383,2028,3
296,1897,2383,2031,3
297,1896,2384,2030,3
298,1898,2386,2031,3
299,1901,2387,2025,3
300,1892,2382,2028,3
301,1895,2379,2031,3
302,1902,2391,2025,3
303,1900,2385,2028,3
304,1899,2388,2030,3
305,1904,2384,2030,3
306,1897,2379,2029,3
307,1899,2387,2028,3
308,1891,2386,2028,3
309,1901,2388,2026,3
310,1897,2384,2023,3
311,1891,2389,2032,3
312,1894,2381,2034,3
313,1895,2385,2022,3
314,1896,2389,2025,3
315,1889,2389,2027,3
316,1898,2385,2021,3
317,1895,2382,2027,3
318,1900,2387,2028,3
319,1903,2387,2023,3
320,1894,2386,2022,3
321,1894,2389,2023,3
322,1892,2383,2023,3
323,1900,2388,2027,3
324,1899,2383,2030,3
325,1898,2385,2027,3
326,1896,2384,2024,3
327,1897,2386,2030,3
328,1901,2388,2027,3
329,1903,2388,2027,3
330,1897,2383,2029,3
331,1898,2381,2024,3
332,1900,2385,2030,3
333,1900,2384,2028,3
334,1901,2387,2026,3
335,1902,2386,2029,3
336,1895,2381,2031,3
337,1896,2387,2027,3
338,1899,2387,2029,3
339,1900,2388,2023,3
340,1898,2386,2028,3
341,1905,2381,2021,3
342,1899,2394,2023,3
343,1896,2390,2024,3
344,1899,2385,2026,3
345,1898,2388,2028,3
346,1900,2385,2029,3
347,1900,2385,2024,3
348,1900,2385,2028,3
349,1895,2384,2029,3
350,1895,2390,2031,3
351,1899,2386,2023,3
352,1897,2383,2027,3
353,1900,2386,2022,3
354,1896,2386,2024,3
355,1900,2385,2028,3
356,1898,2390,2025,3
357,1902,2390,2026,3
358,1899,2386,2023,3
359,1903,2383,2026,3
360,1896,2386,2030,3
361,1899,2389,2021,3
362,1897,2383,2027,3
363,1908,2393,2026,3
364,1905,2385,2026,3
365,1899,2385,2031,3
366,1898,2387,2029,3
367,1902,2386,2026,3
368,1899,2382,2030,3
369,1894,2391,2031,3
370,1903,2388,2031,3
371,1904,2388,2026,3
372,1904,2383,2030,3
373,1903,2391,2026,3
374,1901,2387,2034,3
375,1900,2386,2033,3
376,1900,2389,2025,3
377,1904,2388,2028,3
378,1904,2383,2030,3
379,1908,2386,2026,3
380,1900,2380,2028,3
381,1892,2392,2025,3
382,1891,2390,2026,3
383,1893,2390,2027,3
384,1894,2387,2028,3
385,1899,2389,2029,3
386,1899,2386,2026,3
387,1899,2384,2028,3
388,1899,2391,2028,3
389,1902,2388,2027,3
390,1894,2387,2027,3
391,1900,2390,2024,3
392,1896,2384,2017,3
393,1900,2388,2027,3
394,1899,2383,2027,3
395,1901,2385,2018,3
396,1899,2385,2028,3
397,1895,2385,2031,3
398,1900,2384,2025,3
399,1899,2390,2022,3
400,1899,2389,2027,3
401,1899,2387,2021,3
402,1902,2380,2027,3
403,1902,2384,2026,3
404,1899,2383,2025,3
405,1893,2390,2024,3
406,1897,2382,2026,3
407,1899,2391,2027,3
408,1898,2383,2027,3
409,1900,2386,2024,3
410,1901,2392,2027,3
411,1899,2387,2026,3
412,1898,2386,2026,3
413,1898,2387,2024,3
414,1898,2381,2023,3
415,1901,2385,2025,3
416,1899,2386,2024,3
417,1898,2387,2025,3
418,1901,2386,2031,3
419,1900,2383,2021,3
420,1893,2385,2025,3
421,1897,2387,2020,3
422,1897,2388,2025,3
423,1901,2384,2023,3
424,1895,2384,2022,3
425,1893,2384,2025,3
426,1897,2379,2023,3
427,1901,2388,2018,3
428,1895,2384,2028,3
429,1900,2381,2019,3
430,1899,2385,2023,3
431,1902,2385,2022,3
432,1895,2383,2024,3
433,1893,2386,2024,3
434,1900,2385,2026,3
435,1900,2384,2024,3
436,1894,2390,2028,3
437,1901,2387,2026,3
438,1898,2386,2023,3
439,1897,2385,2024,3
440,1898,2385,2029,3
441,1899,2383,2022,3
442,1894,2383,2024,3
443,1901,2386,2025,3
444,1896,2388,2029,3
445,1899,2390,2019,3
446,1898,2388,2025,3
447,1897,2389,2022,3
448,1896,2389,2021,3
449,1892,2389,2027,3
450,1895,2387,2026,3
451,1901,2385,2022,3
452,1899,2384,2022,3
453,1902,2382,2022,3
454,1896,2381,2016,3
455,1894,2384,2022,3
456,1897,2385,2024,3
457,1897,2390,2028,3
458,1901,2386,2024,3
459,1894,2385,2026,3
460,1893,2386,2021,3
461,1895,2382,2023,3
462,1898,2381,2027,3
463,1898,2386,2025,3
464,1893,2387,2027,3
465,1898,2386,2028,3
466,1896,2384,2022,3
467,1904,2390,2024,3
468,1905,2386,2027,3
469,1898,2386,2026,3
470,1893,2383,2027,3
471,1899,2384,2027,3
472,1899,2388,2026,3
473,1900,2388,2025,3
474,1898,2387,2023,3
475,1894,2385,2023,3
476,1899,2388,2025,3
477,1900,2385,2026,3
478,1899,2386,2027,3
479,1898,2390,2021,3
480,1899,2388,2019,3
481,1899,2394,2024,3
482,1899,2387,2024,3
483,1896,2388,2024,3
484,1897,2383,2023,3
485,1892,2379,2020,3
486,1895,2384,2030,3
487,1896,2384,2026,3
488,1901,2387,2026,3
489,1894,2383,2028,3
490,1897,2384,2025,3
491,1896,2385,2024,3
492,1893,2391,2024,3
493,1893,2388,2024,3
494,1900,2387,2027,3
495,1899,2386,2023,3
496,1898,2385,2025,3
497,1899,2388,2020,3
498,1897,2383,2028,3
499,1891,2387,2027,3
500,1897,2388,2026,3
501,1898,2382,2022,3
502,1897,2387,2024,3
503,1900,2382,2029,3
504,1899,2381,2031,3
505,1903,2385,2027,3
506,1901,2382,2022,3
507,1892,2384,2028,3
508,1893,2388,2022,3
509,1893,2382,2026,3
510,1898,2382,2028,3
511,1897,2386,2028,3
512,1900,2384,2029,3
513,1902,2387,2029,3
514,1896,2381,2027,3
515,1895,2385,2023,3
516,1892,2386,2027,3
517,1897,2386,2032,3
518,1897,2388,2022,3
519,1899,2383,2028,3
520,1892,2384,2024,3
521,1893,2384,2029,3
522,1894,2384,2029,3
523,1894,2383,2028,3
524,1896,2383,2029,3
525,1896,2386,2023,3
526,1893,2383,2029,3
527,1898,2382,2024,3
528,1901,2387,2027,3
529,1898,2385,2032,3
530,1902,2385,2030,3
531,1898,2383,2029,3
532,1900,2382,2031,3
533,1897,2392,2029,3
534,1899,2388,2027,3
535,1897,2385,2029,3
536,1896,2385,2026,3
537,1895,2379,2032,3
538,1895,2384,2031,3
539,1893,2384,2025,3
540,1898,2387,2028,3
541,1901,2389,2032,3
542,1897,2389,2029,3
543,1899,2384,2031,3
544,1903,2385,2033,3
545,1896,2385,2032,3
546,1895,2384,2030,3
547,1894,2386,2025,3
548,1900,2386,2030,3
549,1898,2389,2027,3
550,1894,2382,2030,3
551,1890,2385,2036,3
552,1892,2385,2033,3
553,1901,2390,2024,3
554,1897,2385,2023,3
555,1898,2383,2026,3
556,1901,2387,2028,3
557,1893,2386,2028,3
558,1893,2386,2028,3
559,1895,2386,2032,3
560,1897,2383,2030,3
561,1897,2384,2024,3
562,1893,2384,2029,3
563,1894,2391,2023,3
564,1895,2387,2029,3
565,1898,2388,2026,3
566,1904,2388,2027,3
567,1894,2384,2026,3
568,1899,2385,2026,3
569,1896,2386,2028,3
570,1902,2387,2029,3
571,1892,2385,2028,3
572,1897,2384,2027,3
573,1896,2384,2026,3
574,1895,2382,2025,3
575,1898,2384,2025,3
576,1897,2386,2026,3
577,1894,2387,2031,3
578,1894,2385,2030,3
579,1898,2383,2031,3
580,1894,2387,2024,3
581,1896,2387,2029,3
582,1897,2384,2023,3
583,1894,2385,2030,3
584,1898,2386,2025,3
585,1899,2386,2027,3
586,1894,2382,2031,3
587,1896,2387,2027,3
588,1900,2387,2025,3
589,1892,2386,2029,3
590,1893,2391,2029,3
591,1897,2390,2029,3
592,1895,2390,2030,3
593,1901,2387,2027,3
594,1896,2385,2028,3
595,1893,2385,2028,3
596,1896,2386,2028,3
597,1897,2386,2035,3
598,1899,2387,2023,3
599,1896,2383,2031,3
600,1898,2382,2027,3
601,1891,2383,2029,3
602,1894,2385,2030,3
603,1895,2388,2030,3
604,1894,2386,2026,3
605,1894,2386,2031,3
606,1897,2384,2027,3
607,1896,2386,2027,3
608,1894,2384,2023,3
609,1890,2387,2027,3
610,1898,2388,2025,3
611,1892,2385,2027,3
612,1901,2388,2029,3
613,1900,2383,2032,3
614,1899,2393,2030,3
615,1898,2388,2027,3
616,1897,2389,2025,3
617,1894,2383,2027,3
618,1898,2386,2028,3
619,1899,2383,2031,3
620,1901,2386,2027,3
621,1899,2382,2024,3
622,1897,2388,2030,3
623,1897,2388,2023,3
624,1895,2386,2028,3
625,1899,2383,2031,3
626,1895,2385,2029,3
627,1892,2383,2029,3
628,1901,2385,2024,3
629,1898,2380,2024,3
630,1895,2389,2026,3
631,1896,2384,2027,3
632,1894,2387,2026,3
633,1898,2385,2029,3
634,1896,2387,2027,3
635,1896,2381,2029,3
636,1896,2382,2024,3
637,1898,2389,2028,3
638,1901,2387,2032,3
639,1903,2388,2027,3
640,1901,2385,2029,3
641,1899,2388,2029,3
642,1900,2385,2025,3
643,1899,2392,2034,3
644,1905,2385,2027,3
645,1901,2390,2031,3
646,1896,2385,2032,3
647,1903,2386,2030,3
648,1902,2385,2030,3
649,1903,2384,2033,3
650,1905,2384,2027,3
651,1910,2384,2027,3
652,1907,2387,2029,3
653,1903,2384,2032,3
654,1897,2388,2033,3
655,1898,2390,2033,3
656,1894,2387,2030,3
657,1890,2392,2033,3
658,1891,2386,2033,3
659,1894,2388,2028,3
660,1898,2381,2031,3
661,1892,2385,2032,3
662,1895,2384,2031,3
663,1895,2385,2027,3
664,1902,2386,2030,3
665,1895,2385,2032,3
666,1897,2387,2030,3
667,1898,2386,2029,3
668,1901,2387,2030,3
669,1903,2386,2038,3
670,1901,2388,2032,3
671,1896,2386,2031,3
672,1899,2389,2035,3
673,1899,2390,2034,3
674,1900,2382,2033,3
675,1899,2387,2039,3
676,1902,2386,2033,3
677,1903,2389,2037,3
678,1905,2388,2027,3
679,1901,2392,2029,3
680,1898,2384,2031,3
681,1906,2384,2031,3
682,1899,2387,2034,3
683,1897,2388,2037,3
684,1897,2387,2031,3
685,1903,2385,2035,3
686,1902,2386,2028,3
687,1900,2385,2034,3
688,1903,2383,2037,3
689,1894,2386,2035,3
690,1896,2382,2035,3
691,1901,2389,2031,3
692,1898,2381,2036,3
693,1903,2387,2033,3
694,1901,2390,2042,3
695,1898,2390,2034,3
696,1904,2390,2031,3
697,1902,2386,2033,3
698,1897,2389,2033,3
699,1906,2392,2033,3
700,1895,2387,2035,3
701,1899,2380,2027,3
702,1895,2385,2031,3
703,1893,2387,2031,3
704,1901,2385,2030,3
705,1901,2383,2033,3
706,1897,2384,2030,3
707,1894,2383,2030,3
708,1896,2385,2035,3
709,1898,2385,2026,3
710,1894,2389,2028,3
711,1901,2384,2031,3
712,1901,2386,2032,3
713,1898,2386,2032,3
714,1898,2387,2028,3
715,1899,2383,2027,3
716,1897,2390,2030,3
717,1904,2383,2026,3
718,1898,2384,2031,3
719,1899,2388,2034,3
720,1903,2384,2026,3
721,1897,2387,2045,3
722,1897,2387,2042,3
723,1895,2385,2040,3
724,1895,2383,2040,3
725,1894,2381,2042,3
726,1896,2379,2040,3
727,1897,2380,2039,3
728,1902,2385,2042,3
729,1900,2383,2043,3
730,1898,2385,2048,3
731,1902,2383,2042,3
732,1897,2388,2040,3
733,1907,2390,2039,3
734,1903,2379,2045,3
735,1907,2388,2049,3
736,1900,2383,2045,3
737,1901,2384,2043,3
738,1897,2379,2048,3
739,1902,2383,2043,3
740,1899,2383,2051,3
741,1907,2385,2048,3
742,1902,2385,2043,3
743,1902,2382,2046,3
744,1897,2384,2043,3
745,1901,2388,2045,3
746,1899,2385,2039,3
747,1901,2385,2041,3
748,1898,2383,2046,3
749,1900,2387,2041,3
750,1898,2382,2043,3
751,1900,2389,2043,3
752,1897,2382,2039,3
753,1896,2385,2043,3
754,1899,2383,2045,3
755,1900,2383,2040,3
756,1904,2383,2040,3
757,1900,2385,2038,3
758,1901,2385,2038,3
759,1902,2387,2041,3
760,1895,2386,2041,3
761,1903,2383,2046,3
762,1903,2388,2047,3
763,1899,2380,2042,3
764,1902,2388,2043,3
765,1907,2391,2042,3
766,1899,2386,2043,3
767,1901,2384,2044,3
768,1904,2385,2043,3
769,1903,2381,2045,3
770,1903,2388,2042,3
771,1909,2391,2042,3
772,1903,2383,2044,3
773,1903,2386,2045,3
774,1904,2388,2045,3
775,1902,2382,2039,3
776,1901,2383,2041,3
777,1902,2387,2046,3
778,1904,2385,2043,3
779,1904,2384,2041,3
780,1902,2387,2038,3
781,1905,2393,2036,3
782,1898,2386,2040,3
783,1900,2383,2036,3
784,1900,2385,2039,3
785,1901,2381,2033,3
786,1900,2382,2040,3
787,1898,2387,2038,3
788,1898,2387,2040,3
789,1901,2389,2038,3
790,1897,2387,2039,3
791,1900,2386,2039,3
792,1900,2386,2040,3
793,1902,2388,2042,3
794,1897,2383,2036,3
795,1904,2383,2039,3
796,1903,2383,2039,3
797,1904,2388,2036,3
798,1898,2380,2034,3
799,1897,2381,2035,3
800,1901,2386,2039,3
801,1899,2388,2036,3
802,1901,2385,2039,3
803,1899,2387,2040,3
804,1903,2385,2037,3
805,1898,2387,2039,3
806,1897,2383,2037,3
807,1902,2387,2035,3
808,1899,2385,2039,3
809,1908,2385,2032,3
810,1903,2386,2031,3
811,1902,2390,2038,3
812,1901,2387,2036,3
813,1901,2383,2035,3
814,1897,2383,2048,3
815,1899,2377,2035,3
816,1900,2383,2037,3
817,1903,2386,2035,3
818,1899,2387,2038,3
819,1900,2385,2039,3
820,1902,2381,2035,3
821,1900,2386,2035,3
822,1903,2382,2042,3
823,1902,2381,2036,3
824,1899,2386,2037,3
825,1903,2386,2035,3
826,1904,2385,2042,3
827,1903,2386,2037,3
828,1901,2383,2032,3
829,1903,2390,2043,3
830,1902,2384,2034,3
831,1905,2388,2033,3
832,1898,2386,2034,3
833,1903,2391,2032,3
834,1902,2382,2038,3
835,1901,2386,2038,3
836,1907,2390,2035,3
837,1898,2380,2038,3
838,1903,2387,2035,3
839,1902,2385,2037,3
840,1902,2387,2035,3
841,1906,2389,2032,3
842,1906,2385,2037,3
843,1907,2383,2039,3
844,1908,2387,2032,3
845,1907,2391,2034,3
846,1903,2387,2034,3
847,1905,2386,2032,3
848,1904,2393,2035,3
849,1901,2388,2035,3
850,1902,2384,2039,3
851,1902,2384,2033,3
852,1911,2385,2034,3
853,1906,2384,2033,3
854,1904,2382,2036,3
855,1907,2383,2039,3
856,1902,2385,2036,3
857,1905,2381,2033,3
858,1900,2378,2036,3
859,1904,2381,2038,3
860,1902,2378,2045,3
861,1899,2385,2040,3
862,1899,2390,2034,3
863,1896,2384,2030,3
864,1900,2387,2026,3
865,1902,2384,2036,3
866,1910,2392,2039,3
867,1909,2394,2041,3
868,1916,2391,2037,3
869,1920,2391,2038,3
870,1922,2391,2044,3
871,1922,2390,2049,3
872,1925,2387,2048,3
873,1917,2381,2046,3
874,1922,2385,2042,3
875,1920,2388,2050,3
876,1917,2383,2046,3
877,1920,2389,2044,3
878,1924,2381,2049,3
879,1917,2386,2045,3
880,1914,2397,2048,3
881,1920,2394,2043,3
882,1917,2390,2041,3
883,1918,2390,2045,3
884,1918,2387,2041,3
885,1920,2386,2044,3
886,1921,2392,2044,3
887,1920,2380,2042,3
888,1921,2387,2039,3
889,1925,2385,2041,3
890,1918,2388,2051,3
891,1935,2397,2042,3
892,1936,2396,2044,3
893,1933,2395,2045,3
894,1934,2393,2048,3
895,1928,2395,2048,3
896,1932,2387,2052,3
897,1937,2387,2050,3
898,1935,2385,2052,3
899,1938,2380,2053,3
900,1936,2371,2056,3
901,1930,2373,2063,3
902,1929,2381,2054,3
903,1920,2385,2038,3
904,1918,2396,2054,3
905,1928,2393,2059,3
906,1926,2393,2069,3
907,1929,2391,2054,3
908,1931,2393,2050,3
909,1934,2392,2050,3
910,1931,2386,2050,3
911,1928,2379,2052,3
912,1922,2382,2044,3
913,1925,2386,2042,3
914,1929,2389,2045,3
915,1922,2387,2050,3
916,1917,2389,2046,3
917,1920,2393,2055,3
918,1923,2388,2053,3
919,1931,2386,2059,3
920,1927,2379,2055,3
921,1929,2386,2057,3
922,1929,2388,2050,3
923,1918,2391,2052,3
924,1933,2391,2052,3
925,1927,2390,2059,3
926,1925,2386,2055,3
927,1923,2384,2060,3
928,1928,2383,2067,3
929,1921,2374,2074,3
930,1924,2364,2079,3
931,1924,2373,2066,3
932,1933,2389,2054,3
933,1926,2400,2042,3
934,1935,2396,2056,3
935,1937,2389,2069,3
936,1936,2385,2068,3
937,1915,2395,2081,3
938,1922,2396,2078,3
939,1930,2387,2074,3
940,1932,2375,2066,3
941,1933,2375,2072,3
942,1932,2378,2066,3
943,1926,2395,2052,3
944,1928,2392,2054,3
945,1924,2379,2062,3
946,1917,2379,2067,3
947,1918,2382,2073,3
948,1915,2395,2066,3
949,1926,2395,2071,3
950,1933,2396,2064,3
951,1935,2380,2061,3
952,1929,2367,2071,3
953,1925,2369,2076,3
954,1923,2378,2064,3
955,1932,2380,2058,3
956,1927,2390,2067,3
957,1915,2383,2073,3
958,1915,2384,2063,3
959,1920,2388,2068,3
960,1932,2391,2071,3
961,1926,2405,2079,3
962,1932,2402,2078,3
963,1940,2390,2074,3
964,1941,2379,2076,3
965,1933,2375,2082,3
966,1928,2377,2073,3
967,1925,2380,2074,3
968,1935,2387,2080,3
969,1926,2389,2082,3
970,1914,2387,2078,3
971,1923,2389,2073,3
972,1926,2388,2067,3
973,1927,2388,2068,3
974,1928,2390,2067,3
975,1920,2394,2072,3
976,1928,2399,2072,3
977,1939,2400,2063,3
978,1940,2401,2062,3
979,1935,2395,2058,3
980,1933,2391,2071,3
981,1938,2369,2070,3
982,1934,2364,2070,3
983,1931,2367,2070,3
984,1930,2365,2072,3
985,1926,2376,2071,3
986,1931,2382,2075,3
987,1937,2377,2064,3
988,1926,2376,2070,3
989,1939,2381,2065,3
990,1930,2388,2056,3
991,1923,2386,2061,3
992,1928,2388,2060,3
993,1928,2381,2069,3
994,1922,2381,2062,3
995,1897,2379,2058,3
996,1911,2389,2053,3
997,1931,2383,2083,3
998,1930,2388,2067,3
999,1910,2403,2058,3
1000,1921,2395,2059,3
1001,1922,2396,2061,3
1002,1924,2392,2070,3
1003,1934,2381,2063,3
1004,1929,2381,2071,3
1005,1929,2383,2066,3
1006,1924,2381,2065,3
1007,1926,2386,2066,3
1008,1929,2376,2066,3
1009,1932,2382,2065,3
1010,1929,2386,2068,3
1011,1931,2391,2068,3
1012,1939,2387,2061,3
1013,1929,2386,2084,3
1014,1935,2386,2067,3
1015,1933,2385,2071,3
1016,1927,2381,2067,3
1017,1925,2380,2068,3
1018,1929,2387,2060,3
1019,1929,2393,2063,3
1020,1928,2389,2060,3
1021,1925,2388,2063,3
1022,1922,2383,2056,3
1023,1916,2391,2058,3
1024,1921,2388,2053,3
1025,1931,2390,2064,3
1026,1921,2388,2060,3
1027,1920,2386,2058,3
1028,1921,2393,2055,3
1029,1928,2397,2058,3
1030,1927,2392,2060,3
1031,1929,2386,2055,3
1032,1921,2395,2055,3
1033,1926,2391,2051,3
1034,1928,2383,2054,3
1035,1936,2383,2054,3
1036,1920,2385,2053,3
1037,1927,2379,2053,3
1038,1929,2393,2056,3
1039,1929,2387,2048,3
1040,1929,2389,2050,3
1041,1926,2390,2050,3
1042,1929,2382,2050,3
1043,1927,2380,2048,3
1044,1933,2371,2045,3
1045,1930,2374,2053,3
1046,1931,2373,2056,3
1047,1927,2385,2044,3
1048,1915,2396,2037,3
1049,1908,2413,2034,3
1050,1892,2408,2031,3
1051,1897,2397,2024,3
1052,1914,2382,2043,3
1053,1910,2378,2054,3
1054,1912,2380,2044,3
1055,1918,2390,2037,3
1056,1927,2388,2039,3
1057,1921,2392,2035,3
1058,1916,2388,2038,3
1059,1919,2395,2041,3
1060,1918,2390,2039,3
1061,1909,2372,2043,3
1062,1909,2375,2043,3
1063,1915,2376,2040,3
1064,1913,2385,2042,3
1065,1907,2382,2048,3
1066,1919,2379,2040,3
1067,1916,2387,2043,3
1068,1916,2388,2042,3
